Review_ID,Product_ID,Date,Rating,Review_Text,Sentiment
1,1017,2023-01-01,3,Exceeded expectations,Negative
2,1099,2023-01-03,1,Exceeded expectations,Positive
3,1085,2023-01-05,5,Exceeded expectations,Positive
4,1033,2023-01-07,4,Exceeded expectations,Positive
5,1007,2023-01-09,4,Not as described,Negative
6,1039,2023-01-11,2,Not as described,Negative
7,1082,2023-01-13,5,Satisfactory,Negative
8,1041,2023-01-15,3,Great product,Negative
9,1040,2023-01-17,1,Exceeded expectations,Negative
10,1005,2023-01-19,2,Satisfactory,Positive
11,1051,2023-01-21,4,Great product,Neutral
12,1025,2023-01-23,3,Poor quality,Positive
13,1063,2023-01-25,3,Not as described,Negative
14,1097,2023-01-27,1,Great product,Positive
15,1058,2023-01-29,4,Poor quality,Negative
16,1055,2023-01-31,5,Great product,Negative
17,1058,2023-02-02,3,Not as described,Positive
18,1069,2023-02-04,1,Not as described,Negative
19,1032,2023-02-06,5,Satisfactory,Neutral
20,1052,2023-02-08,4,Exceeded expectations,Negative
21,1021,2023-02-10,3,Great product,Neutral
22,1020,2023-02-12,5,Great product,Neutral
23,1069,2023-02-14,5,Poor quality,Negative
24,1069,2023-02-16,5,Not as described,Positive
25,1003,2023-02-18,3,Great product,Neutral
26,1093,2023-02-20,3,Not as described,Positive
27,1074,2023-02-22,2,Great product,Neutral
28,1061,2023-02-24,4,Satisfactory,Negative
29,1061,2023-02-26,1,Exceeded expectations,Negative
30,1093,2023-02-28,5,Great product,Neutral
31,1094,2023-03-02,2,Not as described,Negative
32,1023,2023-03-04,1,Satisfactory,Neutral
33,1054,2023-03-06,2,Great product,Negative
34,1008,2023-03-08,3,Poor quality,Positive
35,1002,2023-03-10,5,Exceeded expectations,Negative
36,1030,2023-03-12,1,Great product,Positive
37,1039,2023-03-14,1,Satisfactory,Negative
38,1035,2023-03-16,1,Poor quality,Positive
39,1023,2023-03-18,1,Satisfactory,Negative
40,1094,2023-03-20,1,Satisfactory,Positive
41,1005,2023-03-22,2,Poor quality,Neutral
42,1065,2023-03-24,5,Satisfactory,Neutral
43,1083,2023-03-26,3,Poor quality,Positive
44,1091,2023-03-28,3,Great product,Negative
45,1074,2023-03-30,3,Poor quality,Positive
46,1003,2023-04-01,3,Poor quality,Negative
47,1078,2023-04-03,2,Exceeded expectations,Neutral
48,1005,2023-04-05,4,Poor quality,Negative
49,1093,2023-04-07,5,Poor quality,Neutral
50,1050,2023-04-09,1,Great product,Negative
51,1061,2023-04-11,4,Exceeded expectations,Negative
52,1056,2023-04-13,3,Not as described,Negative
53,1065,2023-04-15,4,Great product,Positive
54,1078,2023-04-17,5,Great product,Positive
55,1074,2023-04-19,1,Not as described,Neutral
56,1007,2023-04-21,1,Poor quality,Neutral
57,1025,2023-04-23,5,Satisfactory,Positive
58,1050,2023-04-25,5,Exceeded expectations,Neutral
59,1044,2023-04-27,3,Satisfactory,Positive
60,1043,2023-04-29,1,Not as described,Negative
61,1004,2023-05-01,4,Great product,Neutral
62,1069,2023-05-03,2,Great product,Neutral
63,1025,2023-05-05,2,Exceeded expectations,Positive
64,1067,2023-05-07,5,Great product,Neutral
65,1018,2023-05-09,3,Great product,Neutral
66,1083,2023-05-11,2,Exceeded expectations,Negative
67,1096,2023-05-13,1,Exceeded expectations,Neutral
68,1019,2023-05-15,5,Not as described,Negative
69,1011,2023-05-17,4,Great product,Positive
70,1046,2023-05-19,5,Great product,Neutral
71,1000,2023-05-21,4,Not as described,Negative
72,1089,2023-05-23,5,Poor quality,Positive
73,1013,2023-05-25,5,Poor quality,Neutral
74,1063,2023-05-27,5,Poor quality,Positive
75,1037,2023-05-29,4,Not as described,Neutral
76,1036,2023-05-31,4,Great product,Positive
77,1010,2023-06-02,5,Not as described,Positive
78,1099,2023-06-04,2,Not as described,Negative
79,1076,2023-06-06,3,Poor quality,Positive
80,1002,2023-06-08,3,Satisfactory,Neutral
81,1032,2023-06-10,3,Great product,Neutral
82,1005,2023-06-12,4,Poor quality,Negative
83,1049,2023-06-14,4,Satisfactory,Neutral
84,1009,2023-06-16,2,Satisfactory,Neutral
85,1004,2023-06-18,3,Exceeded expectations,Neutral
86,1022,2023-06-20,3,Great product,Positive
87,1009,2023-06-22,5,Satisfactory,Positive
88,1043,2023-06-24,4,Poor quality,Neutral
89,1001,2023-06-26,3,Exceeded expectations,Negative
90,1012,2023-06-28,2,Great product,Positive
91,1039,2023-06-30,2,Not as described,Negative
92,1001,2023-07-02,3,Poor quality,Neutral
93,1083,2023-07-04,4,Satisfactory,Neutral
94,1064,2023-07-06,2,Satisfactory,Positive
95,1062,2023-07-08,5,Poor quality,Neutral
96,1072,2023-07-10,2,Satisfactory,Positive
97,1016,2023-07-12,1,Exceeded expectations,Neutral
98,1008,2023-07-14,1,Great product,Neutral
99,1074,2023-07-16,4,Exceeded expectations,Positive
100,1014,2023-07-18,3,Satisfactory,Positive
